entity_id,state,last_changed,current_temperature,hvac_action,target_temp_high,target_temp_low,temperature
climate.bagno_mts200b_main_channel,auto,2026-08-16T03:24:33.170Z,31,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-16T03:30:10.300Z,31,cooling,,,21
climate.bagno_mts200b_main_channel,auto,2026-08-16T06:00:14.150Z,31,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-16T07:48:57.754Z,30.9,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-16T09:45:13.798Z,31,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-16T14:17:42.575Z,31.1,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-16T18:13:09.682Z,31.2,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-16T19:30:12.039Z,31.2,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-16T20:22:04.921Z,31.1,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-16T22:28:12.202Z,31,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-17T00:38:06.413Z,30.9,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-17T02:52:38.741Z,30.8,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-17T03:30:12.411Z,30.8,cooling,,,21
climate.bagno_mts200b_main_channel,auto,2026-08-17T05:28:03.441Z,30.7,cooling,,,21
climate.bagno_mts200b_main_channel,auto,2026-08-17T06:00:16.681Z,30.7,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-17T13:41:09.086Z,30.8,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-17T19:30:14.180Z,30.8,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-17T22:18:33.080Z,30.7,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-18T01:43:46.684Z,30.6,cooling,,,18
climate.bagno_mts200b_main_channel,unavailable,2026-08-18T01:48:29.449Z
climate.bagno_mts200b_main_channel,auto,2026-08-18T01:50:29.372Z,30.6,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-18T03:30:14.542Z,30.6,cooling,,,21
climate.bagno_mts200b_main_channel,auto,2026-08-18T04:00:38.076Z,30.5,cooling,,,21
climate.bagno_mts200b_main_channel,auto,2026-08-18T06:00:16.961Z,30.5,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-18T06:09:22.300Z,30.4,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-18T10:46:56.164Z,30.5,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-18T15:29:31.078Z,30.6,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-18T19:30:15.294Z,30.6,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-18T23:17:28.256Z,30.5,cooling,,,18
climate.bagno_mts200b_main_channel,unavailable,2026-08-19T00:14:39.241Z
climate.bagno_mts200b_main_channel,auto,2026-08-19T00:16:39.370Z,30.5,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-19T03:21:55.530Z,30.4,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-19T03:30:16.661Z,30.4,cooling,,,21
climate.bagno_mts200b_main_channel,auto,2026-08-19T06:00:18.017Z,30.4,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-19T06:25:38.806Z,30.3,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-19T08:57:00.370Z,30.4,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-19T12:23:21.045Z,30.5,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-19T15:48:32.545Z,30.6,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-19T19:30:03.469Z,30.6,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-20T03:30:03.814Z,30.6,cooling,,,21
climate.bagno_mts200b_main_channel,auto,2026-08-20T05:04:21.432Z,30.5,cooling,,,21
climate.bagno_mts200b_main_channel,auto,2026-08-20T06:00:10.756Z,30.5,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-20T14:16:21.063Z,30.6,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-20T17:43:13.680Z,30.5,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-20T19:30:06.968Z,30.5,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-20T19:35:33.649Z,30.4,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-20T21:13:05.357Z,30.3,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-20T23:20:55.588Z,30.2,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-21T01:06:53.424Z,30.1,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-21T02:42:45.096Z,30,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-21T03:30:04.947Z,30,cooling,,,21
climate.bagno_mts200b_main_channel,auto,2026-08-21T06:00:13.104Z,30,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-21T06:48:17.380Z,29.9,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-21T08:51:04.506Z,29.8,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-21T11:06:41.868Z,29.7,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-21T19:04:45.454Z,29.6,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-21T19:30:07.515Z,29.6,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-21T21:02:44.238Z,29.5,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-21T22:51:12.124Z,29.4,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-22T00:35:29.941Z,29.3,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-22T02:13:03.634Z,29.2,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-22T03:30:06.999Z,29.2,cooling,,,21
climate.bagno_mts200b_main_channel,auto,2026-08-22T03:50:25.340Z,29.1,cooling,,,21
climate.bagno_mts200b_main_channel,auto,2026-08-22T05:21:14.906Z,29,cooling,,,21
climate.bagno_mts200b_main_channel,auto,2026-08-22T06:00:13.230Z,29,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-22T12:58:44.859Z,29.1,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-22T19:30:08.696Z,29.1,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-22T22:53:48.235Z,29,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-23T03:04:42.561Z,28.9,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-23T03:30:09.003Z,28.9,cooling,,,21
climate.bagno_mts200b_main_channel,auto,2026-08-23T05:24:40.002Z,28.8,cooling,,,21
climate.bagno_mts200b_main_channel,auto,2026-08-23T06:00:13.815Z,28.8,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-23T09:59:54.785Z,28.9,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-23T19:30:10.691Z,28.9,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-24T03:30:11.006Z,28.9,cooling,,,21
climate.bagno_mts200b_main_channel,auto,2026-08-24T03:57:47.476Z,28.8,cooling,,,21
climate.bagno_mts200b_main_channel,auto,2026-08-24T05:53:51.510Z,28.9,cooling,,,21
climate.bagno_mts200b_main_channel,auto,2026-08-24T06:00:16.351Z,28.9,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-24T06:23:52.180Z,28.8,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-24T07:14:18.984Z,28.7,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-24T09:25:31.319Z,28.8,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-24T13:27:44.865Z,28.9,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-24T19:30:12.638Z,28.9,cooling,,,18
climate.bagno_mts200b_main_channel,auto,2026-08-25T03:30:12.601Z,28.9,cooling,,,21
climate.bagno_mts200b_main_channel,auto,2026-08-25T05:44:53.118Z,28.8,cooling,,,21
climate.bagno_mts200b_main_channel,auto,2026-08-25T06:00:16.550Z,28.8,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-25T07:19:23.886Z,28.7,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-25T13:34:27.894Z,28.8,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-25T17:16:29.041Z,28.9,cooling,,,20
climate.bagno_mts200b_main_channel,auto,2026-08-25T17:23:14.163Z,28.8,cooling,,,20
