entity_id,state,last_changed,current_temperature,hvac_action,target_temp_high,target_temp_low,temperature
sensor.camera_matrimoniale_temperatura,unavailable,2026-08-01T08:24:38.485Z
sensor.camera_matrimoniale_temperatura_2,22.422058265522224,2025-12-31T23:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,21.96279669616111,2026-01-01T00:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,21.83647671993889,2026-01-01T01:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,22.13440895155,2026-01-01T02:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,22.537169106963887,2026-01-01T03:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,22.750811571166665,2026-01-01T04:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.055436023966667,2026-01-01T05:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.07203334243611,2026-01-01T06:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.348717130719447,2026-01-01T07:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.588157259572224,2026-01-01T08:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.653168680963887,2026-01-01T09:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.93252893154167,2026-01-01T10:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.761177771505555,2026-01-01T11:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.231476784197223,2026-01-01T12:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.255165610816665,2026-01-01T13:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.319004719094448,2026-01-01T14:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.311718484980556,2026-01-01T15:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.22111512220833,2026-01-01T16:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.535162057805554,2026-01-01T17:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.90531716133889,2026-01-01T18:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.081667531277777,2026-01-01T19:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.918970413691667,2026-01-01T20:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.893902544683332,2026-01-01T21:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,22.060555156155555,2026-01-01T22:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,20.5652759708,2026-01-01T23:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.68491962431111,2026-01-02T00:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.128911940369445,2026-01-02T01:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,18.812850165094446,2026-01-02T02:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,18.523426913997223,2026-01-02T03:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.603776066947223,2026-01-02T04:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,22.947472973100002,2026-01-02T05:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.025101179252776,2026-01-02T06:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.291701645036113,2026-01-02T07:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.718176557863888,2026-01-02T08:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.355299158330553,2026-01-02T09:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.44159862444722,2026-01-02T10:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,21.751885271955558,2026-01-02T11:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,21.380516214483333,2026-01-02T12:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,22.522959268124996,2026-01-02T13:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.731263342952776,2026-01-02T14:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.066312031272222,2026-01-02T15:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.10560511101667,2026-01-02T16:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.297332414269444,2026-01-02T17:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.40498095423889,2026-01-02T18:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.530854982366666,2026-01-02T19:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.30613697351667,2026-01-02T20:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.205511325705555,2026-01-02T21:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,22.965614620816666,2026-01-02T22:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,21.19691850288611,2026-01-02T23:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,20.086545487472222,2026-01-03T00:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.482395201194446,2026-01-03T01:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.067082733905554,2026-01-03T02:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,18.736071773055556,2026-01-03T03:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,18.73165284650278,2026-01-03T04:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.898730180111112,2026-01-03T05:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,21.163015181052778,2026-01-03T06:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.566845629158333,2026-01-03T07:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.36152449305278,2026-01-03T08:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.24795243898056,2026-01-03T09:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.394946133405554,2026-01-03T10:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,25.96972339478611,2026-01-03T11:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.049136837547223,2026-01-03T12:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.17316875166667,2026-01-03T13:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,25.508086987783333,2026-01-03T14:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,25.974771698425002,2026-01-03T15:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.16499411515278,2026-01-03T16:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.343382767922222,2026-01-03T17:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.324395459538888,2026-01-03T18:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.0581278401,2026-01-03T19:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.074876816858335,2026-01-03T20:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,21.716444880947222,2026-01-03T21:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,20.29669671654722,2026-01-03T22:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.475306867119443,2026-01-03T23:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,18.911465174105555,2026-01-04T00:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,18.524203004033335,2026-01-04T01:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.53930129998611,2026-01-04T02:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.72422192986389,2026-01-04T03:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,18.883242266877776,2026-01-04T04:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.68369148274722,2026-01-04T05:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,22.129056338394445,2026-01-04T06:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.99736734986111,2026-01-04T07:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.672266847683332,2026-01-04T08:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.139580971847224,2026-01-04T09:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.175030931069443,2026-01-04T10:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.280800436422222,2026-01-04T11:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.368397928680555,2026-01-04T12:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.994205237794446,2026-01-04T13:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.758261869086112,2026-01-04T14:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.699390210544447,2026-01-04T15:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.656020884508333,2026-01-04T16:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.29526403850278,2026-01-04T17:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.747409662772224,2026-01-04T18:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.85700741748333,2026-01-04T19:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,28.063760255355557,2026-01-04T20:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.855905128063892,2026-01-04T21:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.362470152330555,2026-01-04T22:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,21.337815806591667,2026-01-04T23:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,20.270620180544444,2026-01-05T00:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.609719697061113,2026-01-05T01:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.134946164930554,2026-01-05T02:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,18.836043012919443,2026-01-05T03:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,20.098887423102777,2026-01-05T04:00:00.000Z
