entity_id,state,last_changed,current_temperature,hvac_action,target_temp_high,target_temp_low,temperature
climate.cucina_mts200b_main_channel,auto,2026-08-16T03:13:48.698Z,31.6,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-16T03:30:12.038Z,31.6,cooling,,,21
climate.cucina_mts200b_main_channel,auto,2026-08-16T05:57:43.545Z,31.5,cooling,,,21
climate.cucina_mts200b_main_channel,auto,2026-08-16T06:00:14.500Z,31.5,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-16T12:31:11.513Z,31.6,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-16T14:16:00.346Z,31.7,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-16T19:30:12.751Z,31.7,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-16T19:40:10.925Z,31.8,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-16T20:01:28.323Z,31.7,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-16T21:44:39.090Z,31.6,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-16T23:42:35.149Z,31.5,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-17T01:37:59.162Z,31.4,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-17T03:30:14.123Z,31.4,cooling,,,21
climate.cucina_mts200b_main_channel,auto,2026-08-17T03:45:46.387Z,31.3,cooling,,,21
climate.cucina_mts200b_main_channel,auto,2026-08-17T05:44:57.463Z,31.2,cooling,,,21
climate.cucina_mts200b_main_channel,auto,2026-08-17T06:00:16.169Z,31.2,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-17T12:38:23.788Z,31.3,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-17T15:09:05.340Z,31.4,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-17T17:02:05.312Z,31.3,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-17T19:30:14.896Z,31.3,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-18T00:44:51.370Z,31.2,cooling,,,18
climate.cucina_mts200b_main_channel,unavailable,2026-08-18T01:48:29.448Z
climate.cucina_mts200b_main_channel,auto,2026-08-18T01:50:29.371Z,31.2,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-18T02:08:23.824Z,31.1,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-18T03:30:16.265Z,31.1,cooling,,,21
climate.cucina_mts200b_main_channel,auto,2026-08-18T04:39:11.489Z,31,cooling,,,21
climate.cucina_mts200b_main_channel,auto,2026-08-18T06:00:17.224Z,31,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-18T07:06:28.044Z,30.9,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-18T08:27:47.689Z,31,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-18T12:35:07.920Z,31.1,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-18T19:30:17.014Z,31.1,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-18T19:45:09.264Z,31.2,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-18T21:46:22.388Z,31.1,cooling,,,18
climate.cucina_mts200b_main_channel,unavailable,2026-08-19T00:14:39.236Z
climate.cucina_mts200b_main_channel,auto,2026-08-19T00:16:39.369Z,31.1,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-19T01:35:40.382Z,31,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-19T03:30:02.498Z,31,cooling,,,21
climate.cucina_mts200b_main_channel,auto,2026-08-19T03:51:25.754Z,30.9,cooling,,,21
climate.cucina_mts200b_main_channel,auto,2026-08-19T06:00:09.133Z,30.9,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-19T10:39:33.877Z,31,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-19T13:34:49.930Z,31.1,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-19T17:09:24.667Z,31.2,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-19T19:30:05.934Z,31.2,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-20T00:36:30.479Z,31.1,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-20T03:30:04.514Z,31.1,cooling,,,21
climate.cucina_mts200b_main_channel,auto,2026-08-20T05:19:57.415Z,31,cooling,,,21
climate.cucina_mts200b_main_channel,auto,2026-08-20T06:00:12.643Z,31,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-20T12:51:22.314Z,31.1,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-20T17:49:29.515Z,31,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-20T18:46:18.510Z,30.9,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-20T19:30:08.197Z,30.9,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-20T20:55:24.771Z,30.8,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-20T22:45:21.681Z,30.7,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-21T00:48:12.821Z,30.6,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-21T02:44:31.857Z,30.5,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-21T03:30:06.644Z,30.5,cooling,,,21
climate.cucina_mts200b_main_channel,auto,2026-08-21T04:22:14.549Z,30.4,cooling,,,21
climate.cucina_mts200b_main_channel,auto,2026-08-21T06:00:14.191Z,30.4,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-21T06:41:45.418Z,30.3,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-21T08:20:03.706Z,30.2,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-21T10:31:07.003Z,30.1,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-21T19:25:46.270Z,30,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-21T19:30:08.396Z,30,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-21T22:56:38.938Z,29.9,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-22T00:25:08.641Z,29.8,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-22T01:53:36.015Z,29.7,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-22T03:30:08.699Z,29.7,cooling,,,21
climate.cucina_mts200b_main_channel,auto,2026-08-22T03:31:54.764Z,29.6,cooling,,,21
climate.cucina_mts200b_main_channel,auto,2026-08-22T05:02:01.309Z,29.5,cooling,,,21
climate.cucina_mts200b_main_channel,auto,2026-08-22T06:00:14.171Z,29.5,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-22T12:13:25.779Z,29.6,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-22T14:26:09.185Z,29.7,cooling,,,20
climate.cucina_mts200b_main_channel,auto,2026-08-22T19:30:10.394Z,29.7,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-22T22:49:33.854Z,29.6,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-22T23:58:22.053Z,29.5,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-23T01:38:59.796Z,29.4,cooling,,,18
climate.cucina_mts200b_main_channel,auto,2026-08-23T03:30:10.722Z,29.4,cooling,,,21
