entity_id,state,last_changed,current_temperature,hvac_action,target_temp_high,target_temp_low,temperature
climate.soggiorno_mts200b_main_channel,auto,2026-08-16T03:26:54.210Z,31.3,cooling,,,18
climate.soggiorno_mts200b_main_channel,auto,2026-08-16T03:30:10.298Z,31.3,cooling,,,21
climate.soggiorno_mts200b_main_channel,auto,2026-08-16T05:47:59.668Z,31.2,cooling,,,21
climate.soggiorno_mts200b_main_channel,auto,2026-08-16T06:00:13.919Z,31.2,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-16T08:56:37.962Z,31.3,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-16T10:49:08.924Z,31.4,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-16T13:30:55.765Z,31.5,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-16T17:15:58.690Z,31.6,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-16T19:30:11.066Z,31.6,cooling,,,18
climate.soggiorno_mts200b_main_channel,auto,2026-08-16T19:53:48.444Z,31.5,cooling,,,18
climate.soggiorno_mts200b_main_channel,auto,2026-08-16T20:45:12.353Z,31.4,cooling,,,18
climate.soggiorno_mts200b_main_channel,auto,2026-08-16T22:27:38.237Z,31.3,cooling,,,18
climate.soggiorno_mts200b_main_channel,auto,2026-08-16T23:58:19.717Z,31.2,cooling,,,18
climate.soggiorno_mts200b_main_channel,auto,2026-08-17T01:25:40.227Z,31.1,cooling,,,18
climate.soggiorno_mts200b_main_channel,auto,2026-08-17T03:11:29.083Z,31,cooling,,,18
climate.soggiorno_mts200b_main_channel,auto,2026-08-17T03:30:11.409Z,31,cooling,,,21
climate.soggiorno_mts200b_main_channel,auto,2026-08-17T05:09:27.131Z,30.9,cooling,,,21
climate.soggiorno_mts200b_main_channel,auto,2026-08-17T06:00:15.515Z,30.9,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-17T09:53:13.100Z,31,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-17T12:21:00.701Z,31.1,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-17T15:14:00.723Z,31.2,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-17T19:30:13.181Z,31.2,cooling,,,18
climate.soggiorno_mts200b_main_channel,auto,2026-08-17T20:32:28.337Z,31.1,cooling,,,18
climate.soggiorno_mts200b_main_channel,auto,2026-08-17T22:45:09.576Z,31,cooling,,,18
climate.soggiorno_mts200b_main_channel,auto,2026-08-18T00:55:57.861Z,30.9,cooling,,,18
climate.soggiorno_mts200b_main_channel,unavailable,2026-08-18T01:48:29.442Z
climate.soggiorno_mts200b_main_channel,auto,2026-08-18T01:50:29.370Z,30.9,cooling,,,18
climate.soggiorno_mts200b_main_channel,auto,2026-08-18T03:23:45.476Z,30.8,cooling,,,18
climate.soggiorno_mts200b_main_channel,auto,2026-08-18T03:30:13.549Z,30.8,cooling,,,21
climate.soggiorno_mts200b_main_channel,auto,2026-08-18T04:37:30.748Z,30.7,cooling,,,21
climate.soggiorno_mts200b_main_channel,auto,2026-08-18T06:00:16.807Z,30.7,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-18T06:40:24.872Z,30.6,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-18T07:58:06.219Z,30.7,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-18T09:33:48.898Z,30.8,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-18T11:26:13.863Z,30.9,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-18T14:08:13.680Z,31,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-18T19:30:15.309Z,31,cooling,,,18
climate.soggiorno_mts200b_main_channel,auto,2026-08-18T21:13:35.098Z,30.9,cooling,,,18
climate.soggiorno_mts200b_main_channel,auto,2026-08-19T00:03:13.056Z,30.8,cooling,,,18
climate.soggiorno_mts200b_main_channel,unavailable,2026-08-19T00:14:39.235Z
climate.soggiorno_mts200b_main_channel,auto,2026-08-19T00:16:39.368Z,30.8,cooling,,,18
climate.soggiorno_mts200b_main_channel,auto,2026-08-19T02:51:33.004Z,30.7,cooling,,,18
climate.soggiorno_mts200b_main_channel,auto,2026-08-19T03:30:15.664Z,30.7,cooling,,,21
climate.soggiorno_mts200b_main_channel,auto,2026-08-19T04:00:17.187Z,30.6,cooling,,,21
climate.soggiorno_mts200b_main_channel,auto,2026-08-19T06:00:17.804Z,30.6,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-19T08:13:04.608Z,30.7,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-19T09:42:05.153Z,30.8,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-19T11:36:20.161Z,30.9,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-19T13:59:59.645Z,31,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-19T19:30:16.423Z,31,cooling,,,18
climate.soggiorno_mts200b_main_channel,auto,2026-08-19T23:37:38.724Z,30.9,cooling,,,18
climate.soggiorno_mts200b_main_channel,auto,2026-08-20T03:30:03.177Z,30.9,cooling,,,21
climate.soggiorno_mts200b_main_channel,auto,2026-08-20T03:56:04.227Z,30.8,cooling,,,21
climate.soggiorno_mts200b_main_channel,auto,2026-08-20T06:00:09.263Z,30.8,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-20T07:08:45.622Z,30.7,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-20T08:45:32.300Z,30.8,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-20T11:38:17.324Z,30.9,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-20T14:04:25.864Z,31,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-20T14:05:06.920Z,30.9,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-20T17:02:44.990Z,30.8,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-20T18:08:57.144Z,30.7,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-20T19:30:05.576Z,30.7,cooling,,,18
climate.soggiorno_mts200b_main_channel,auto,2026-08-20T19:33:31.669Z,30.6,cooling,,,18
climate.soggiorno_mts200b_main_channel,auto,2026-08-20T20:42:23.835Z,30.5,cooling,,,18
climate.soggiorno_mts200b_main_channel,auto,2026-08-20T22:31:36.770Z,30.4,cooling,,,18
climate.soggiorno_mts200b_main_channel,auto,2026-08-21T00:12:24.478Z,30.3,cooling,,,18
climate.soggiorno_mts200b_main_channel,auto,2026-08-21T02:03:16.417Z,30.2,cooling,,,18
climate.soggiorno_mts200b_main_channel,auto,2026-08-21T03:30:03.993Z,30.2,cooling,,,21
climate.soggiorno_mts200b_main_channel,auto,2026-08-21T03:52:01.298Z,30.1,cooling,,,21
climate.soggiorno_mts200b_main_channel,auto,2026-08-21T05:46:16.330Z,30,cooling,,,21
climate.soggiorno_mts200b_main_channel,auto,2026-08-21T06:00:11.573Z,30,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-21T09:56:27.669Z,29.9,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-21T13:51:38.768Z,29.8,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-21T15:19:01.301Z,29.9,cooling,,,20
climate.soggiorno_mts200b_main_channel,auto,2026-08-21T19:17:33.433Z,29.8,cooling,,,20
