entity_id,state,last_changed,current_temperature,hvac_action,target_temp_high,target_temp_low,temperature
climate.studio_s_mts200b_main_channel,auto,2026-08-16T04:00:14.499Z,31.3,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-16T04:11:43.706Z,31.2,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-16T06:21:46.978Z,31.3,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-16T09:25:28.167Z,31.4,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-16T12:08:11.007Z,31.5,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-16T14:40:58.714Z,31.6,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-16T19:30:14.738Z,31.6,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-16T19:33:38.802Z,31.5,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-16T20:06:20.370Z,31.4,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-16T20:27:27.844Z,31.3,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-16T22:21:15.720Z,31.2,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-17T00:19:56.803Z,31.1,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-17T02:28:23.210Z,31,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-17T04:00:15.648Z,31,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-17T04:39:45.582Z,30.9,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-17T09:15:06.156Z,31,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-17T11:09:21.142Z,31.1,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-17T12:20:44.419Z,31.2,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-17T17:46:34.080Z,31.3,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-17T18:12:34.552Z,31.2,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-17T19:30:15.895Z,31.2,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-17T20:28:05.003Z,31.1,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-17T22:11:29.692Z,31,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-18T00:02:36.636Z,30.9,cooling,,,18
climate.studio_s_mts200b_main_channel,unavailable,2026-08-18T01:48:29.441Z
climate.studio_s_mts200b_main_channel,auto,2026-08-18T01:50:29.369Z,30.9,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-18T02:02:54.733Z,30.8,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-18T04:00:16.786Z,30.8,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-18T04:26:25.372Z,30.7,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-18T05:52:35.743Z,30.6,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-18T08:09:10.141Z,30.7,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-18T09:19:05.349Z,30.8,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-18T10:55:00.008Z,30.9,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-18T12:17:48.474Z,31,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-18T19:30:02.908Z,31,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-18T21:11:23.776Z,30.9,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-18T23:13:20.893Z,30.8,cooling,,,18
climate.studio_s_mts200b_main_channel,unavailable,2026-08-19T00:14:39.234Z
climate.studio_s_mts200b_main_channel,auto,2026-08-19T00:16:39.366Z,30.8,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-19T02:15:26.075Z,30.7,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-19T03:43:14.603Z,30.6,cooling,,,18
climate.studio_s_mts200b_main_channel,auto,2026-08-19T04:00:06.402Z,30.6,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-19T07:26:41.493Z,30.7,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-19T10:01:09.205Z,30.8,cooling,,,20
climate.studio_s_mts200b_main_channel,auto,2026-08-19T11:32:10.802Z,30.9,cooling,,,20
